model,exercise,target,criterion,seed,target_bit,accuracy,lop,global_opposing_support,global_matching_support,global_opposing_rate,target_frequency,target_cardinality,total_hamming1_support
fact,deadlift,11110,3,57.333333333333336,1.0,0.3333333333333333,0.0,101.0,101.0,0.5,10.0,4.0,2.0
fact,deadlift,11110,4,57.333333333333336,0.0,1.0,0.0,9.0,193.0,0.04455445544554456,10.0,4.0,2.0
fact,squat,000000,0,57.333333333333336,0.0,0.5294117647058824,0.3333333333333333,116.66666666666667,93.33333333333333,0.5555555555555555,17.0,0.0,52.0
fact,squat,000000,1,57.333333333333336,0.0,0.9019607843137255,0.0,36.333333333333336,173.66666666666666,0.17301587301587304,17.0,0.0,52.0
fact,squat,000000,2,57.333333333333336,0.0,0.8039215686274509,3.0,40.0,170.0,0.19047619047619047,17.0,0.0,52.0
fact,squat,000000,3,57.333333333333336,0.0,0.2549019607843137,5.0,83.0,127.0,0.3952380952380952,17.0,0.0,52.0
fact,squat,000000,4,57.333333333333336,0.0,1.0,5.0,10.0,200.0,0.047619047619047616,17.0,0.0,52.0
fact,squat,000000,5,57.333333333333336,0.0,0.1176470588235294,38.666666666666664,188.0,22.0,0.8952380952380952,17.0,0.0,52.0
fact,squat,000001,0,57.333333333333336,0.0,0.2727272727272727,43.333333333333336,112.66666666666667,67.33333333333333,0.6259259259259259,55.0,1.0,78.0
fact,squat,000001,1,57.333333333333336,0.0,0.8787878787878788,0.0,39.333333333333336,140.66666666666666,0.21851851851851853,55.0,1.0,78.0
fact,squat,000001,2,57.333333333333336,0.0,0.9212121212121213,7.0,38.333333333333336,141.66666666666666,0.21296296296296294,55.0,1.0,78.0
fact,squat,000001,3,57.333333333333336,0.0,0.5333333333333333,21.0,91.0,89.0,0.5055555555555555,55.0,1.0,78.0
fact,squat,000001,4,57.333333333333336,0.0,0.8727272727272727,0.0,10.0,170.0,0.05555555555555555,55.0,1.0,78.0
fact,squat,000001,5,57.333333333333336,1.0,0.6424242424242425,6.666666666666667,24.0,156.0,0.13333333333333333,55.0,1.0,78.0
fact,squat,000101,0,57.333333333333336,0.0,0.8787878787878788,28.666666666666668,113.0,97.0,0.5380952380952381,22.0,2.0,83.66666666666667
fact,squat,000101,1,57.333333333333336,0.0,0.787878787878788,10.0,39.333333333333336,170.66666666666666,0.1873015873015873,22.0,2.0,83.66666666666667
fact,squat,000101,2,57.333333333333336,0.0,0.9848484848484849,0.0,38.333333333333336,171.66666666666666,0.18253968253968253,22.0,2.0,83.66666666666667
fact,squat,000101,3,57.333333333333336,1.0,0.3636363636363636,40.0,142.0,68.0,0.6761904761904761,22.0,2.0,83.66666666666667
fact,squat,000101,4,57.333333333333336,0.0,1.0,0.0,10.0,200.0,0.047619047619047616,22.0,2.0,83.66666666666667
fact,squat,000101,5,57.333333333333336,1.0,0.6363636363636364,5.0,40.0,170.0,0.19047619047619047,22.0,2.0,83.66666666666667
fact,squat,010101,0,57.333333333333336,0.0,0.4222222222222222,1.6666666666666667,116.33333333333333,102.66666666666667,0.5312024353120243,15.0,3.0,27.333333333333332
fact,squat,010101,1,57.333333333333336,1.0,0.15555555555555556,15.333333333333334,193.0,26.0,0.8812785388127854,15.0,3.0,27.333333333333332
fact,squat,010101,2,57.333333333333336,0.0,0.8888888888888888,5.333333333333333,38.333333333333336,180.66666666666666,0.17503805175038054,15.0,3.0,27.333333333333332
fact,squat,010101,3,57.333333333333336,1.0,0.2888888888888889,0.0,148.0,71.0,0.6757990867579909,15.0,3.0,27.333333333333332
fact,squat,010101,4,57.333333333333336,0.0,0.9111111111111111,0.0,10.0,209.0,0.045662100456621,15.0,3.0,27.333333333333332
