model,exercise,target,seed,condition,metric,value
ssm,squat,010101,42,seen,micro_f1,1.0
ssm,squat,010101,42,seen,bit_accuracy,1.0
ssm,squat,010101,42,seen,exact_match,1.0
ssm,squat,010101,42,unseen,macro_f1,0.27777777777777773
ssm,squat,010101,42,unseen,micro_f1,0.5454545454545454
ssm,squat,010101,42,unseen,bit_accuracy,0.5833333333333334
ssm,squat,010101,42,unseen,exact_match,0.0
ssm,squat,010101,7,seen,macro_f1,0.5
ssm,squat,010101,7,seen,micro_f1,1.0
ssm,squat,010101,7,seen,bit_accuracy,1.0
ssm,squat,010101,7,seen,exact_match,1.0
