model,exercise,target,seed,risk,n,error_rate,error_auprc,error_auroc,aurc,accuracy_at_80,accuracy_at_60
fact,squat,000101,123,combined,132,0.1590909090909091,0.1759859139382975,0.2985842985842986,0.3321477241705173,0.8380952380952381,0.8227848101265822
fact,squat,000101,42,confidence,132,0.20454545454545456,0.44961382314819975,0.8328042328042328,0.05815519175761055,0.8380952380952381,0.9746835443037974
fact,squat,000101,42,pressure,132,0.20454545454545456,0.19459729361972797,0.38853615520282186,0.24909903801021518,0.7904761904761904,0.7341772151898734
fact,squat,000101,42,combined,132,0.20454545454545456,0.26736378755196744,0.5862433862433862,0.13758570578980758,0.8285714285714285,0.810126582278481
fact,squat,000101,7,confidence,132,0.3106060606060606,0.47034387137839484,0.6826588046100242,0.1977286756315035,0.7428571428571429,0.8354430379746836
fact,squat,000101,7,pressure,132,0.3106060606060606,0.4741949095724813,0.6874832484588582,0.2318293900670014,0.7428571428571429,0.8227848101265822
fact,squat,000101,7,combined,132,0.3106060606060606,0.5362758471724012,0.7083891718038059,0.20328037179272979,0.7523809523809524,0.8354430379746836
fact,squat,010101,123,confidence,90,0.36666666666666664,0.520962539618162,0.5598086124401914,0.42388648846500615,0.6805555555555556,0.7222222222222222
fact,squat,010101,123,pressure,90,0.36666666666666664,0.7735739271261541,0.8054226475279107,0.20598268667874495,0.7638888888888888,0.7777777777777778
fact,squat,010101,123,combined,90,0.36666666666666664,0.36164364633338997,0.5241892610313663,0.2763626497973004,0.5555555555555556,0.6111111111111112
fact,squat,010101,42,confidence,90,0.4444444444444444,0.6645720486992601,0.711,0.25737971980478885,0.5833333333333333,0.6666666666666667
fact,squat,010101,42,pressure,90,0.4444444444444444,0.5516451503920119,0.621,0.42400795870324315,0.6111111111111112,0.6111111111111112
fact,squat,010101,42,combined,90,0.4444444444444444,0.5864835918400033,0.7060000000000001,0.26416456329193977,0.5833333333333333,0.6666666666666667
fact,squat,010101,7,confidence,90,0.4111111111111111,0.49034142234918127,0.5058643549209587,0.4871950657784313,0.625,0.6481481481481481
fact,squat,010101,7,pressure,90,0.4111111111111111,0.5521354535701738,0.6058133605303417,0.33148184647990975,0.6388888888888888,0.6481481481481481
fact,squat,010101,7,combined,90,0.4111111111111111,0.5502092445725049,0.5639979602243754,0.43021439950564805,0.6388888888888888,0.6481481481481481
fact,squat,100001,123,confidence,312,0.3108974358974359,0.4801807304530883,0.7025173819228002,0.17828910873689144,0.7108433734939759,0.8074866310160428
fact,squat,100001,123,pressure,312,0.3108974358974359,0.34682243209521946,0.5581874850155838,0.3154031365754507,0.7188755020080322,0.7272727272727273
fact,squat,100001,123,combined,312,0.3108974358974359,0.46756475395736674,0.6787820666506832,0.18937396131013237,0.7309236947791165,0.7593582887700535
fact,squat,100001,42,confidence,312,0.3108974358974359,0.4297348001605817,0.6248381683049629,0.2418520480567129,0.7228915662650602,0.7486631016042781
fact,squat,100001,42,pressure,312,0.3108974358974359,0.37584102624739457,0.5399184847758332,0.30620937362696854,0.7188755020080322,0.7112299465240641
fact,squat,100001,42,combined,312,0.3108974358974359,0.42763447419478073,0.609062574922081,0.28800128345362114,0.7349397590361446,0.7754010695187166
fact,squat,100001,7,confidence,312,0.17307692307692307,0.45854450217627185,0.7411714039621017,0.08193878189189828,0.8995983935742972,0.9197860962566845
fact,squat,100001,7,pressure,312,0.17307692307692307,0.18739027209489414,0.5045578524260695,0.1652397709498421,0.8353413654618473,0.8288770053475936
fact,squat,100001,7,combined,312,0.17307692307692307,0.4391145460832724,0.7863192650014356,0.06816953016345297,0.9076305220883534,0.9251336898395722
fact,squat,100101,123,confidence,216,0.2777777777777778,0.4582877727764307,0.633974358974359,0.22976348059912755,0.7558139534883721,0.7906976744186046
fact,squat,100101,123,pressure,216,0.2777777777777778,0.3301614264336025,0.5044871794871795,0.27229816482791075,0.7325581395348837,0.7209302325581395
fact,squat,100101,123,combined,216,0.2777777777777778,0.3749310247996315,0.5199786324786325,0.27263472782865733,0.75,0.7364341085271318
fact,squat,100101,42,confidence,216,0.2824074074074074,0.4454082490559948,0.6979375991538869,0.1639038134921941,0.7441860465116279,0.8062015503875969
fact,squat,100101,42,pressure,216,0.2824074074074074,0.28801599536144806,0.4473294553146483,0.3253488298551527,0.7151162790697674,0.6744186046511628
fact,squat,100101,42,combined,216,0.2824074074074074,0.4136293607586943,0.6248545742993125,0.24232839127401185,0.75,0.7984496124031008
fact,squat,100101,7,confidence,216,0.24074074074074073,0.3314908245747906,0.5762195121951219,0.21254442420285186,0.7848837209302326,0.8217054263565892
fact,squat,100101,7,pressure,216,0.24074074074074073,0.26711036337685923,0.4872772045028143,0.24470668599705622,0.7790697674418605,0.7209302325581395
fact,squat,100101,7,combined,216,0.24074074074074073,0.3459552878918418,0.6095215759849906,0.17105566128722513,0.7848837209302326,0.7984496124031008
fact,squat,101001,123,confidence,150,0.3,0.30164011393169954,0.3646560846560847,0.47722206400970607,0.7,0.7
fact,squat,101001,123,pressure,150,0.3,0.49804854610410165,0.4943915343915344,0.29493819192769205,0.7416666666666667,0.6777777777777778
