model,exercise,target,seed,criterion,target_bit,accuracy,lop,global_opposing_support,global_matching_support,global_opposing_rate,target_cardinality,total_hamming1_support,is_hand_criterion
gru,cpr,0000000001010,42,6,0,1.0,0.0,143.0,944.0,0.13155473781048757,2.0,62.0,False
gru,cpr,0000000001010,42,7,0,1.0,0.0,164.0,923.0,0.15087396504139836,2.0,62.0,False
gru,cpr,0000000001010,42,8,0,0.0,0.0,165.0,922.0,0.15179392824287027,2.0,62.0,False
gru,cpr,0000000001010,42,9,1,1.0,20.0,906.0,181.0,0.8334866605335787,2.0,62.0,False
gru,cpr,0000000001010,42,10,0,0.0,0.0,122.0,965.0,0.11223551057957681,2.0,62.0,False
gru,cpr,0000000001010,42,11,1,0.0,42.0,1008.0,79.0,0.9273229070837167,2.0,62.0,False
gru,cpr,0000000001010,42,12,0,1.0,0.0,96.0,991.0,0.08831646734130635,2.0,62.0,False
gru,cpr,0000000001010,7,0,0,0.6,0.0,185.0,902.0,0.1701931922723091,2.0,62.0,True
gru,cpr,0000000001010,7,1,0,0.6,0.0,90.0,997.0,0.0827966881324747,2.0,62.0,True
gru,cpr,0000000001010,7,2,0,1.0,0.0,98.0,989.0,0.09015639374425023,2.0,62.0,True
gru,cpr,0000000001010,7,3,0,1.0,0.0,171.0,916.0,0.15731370745170192,2.0,62.0,False
gru,cpr,0000000001010,7,4,0,1.0,0.0,146.0,941.0,0.1343146274149034,2.0,62.0,False
gru,cpr,0000000001010,7,5,0,1.0,0.0,128.0,959.0,0.11775528978840846,2.0,62.0,False
gru,cpr,0000000001010,7,6,0,1.0,0.0,143.0,944.0,0.13155473781048757,2.0,62.0,False
gru,cpr,0000000001010,7,7,0,1.0,0.0,164.0,923.0,0.15087396504139836,2.0,62.0,False
gru,cpr,0000000001010,7,8,0,1.0,0.0,165.0,922.0,0.15179392824287027,2.0,62.0,False
gru,cpr,0000000001010,7,9,1,1.0,20.0,906.0,181.0,0.8334866605335787,2.0,62.0,False
gru,cpr,0000000001010,7,10,0,0.0,0.0,122.0,965.0,0.11223551057957681,2.0,62.0,False
gru,cpr,0000000001010,7,11,1,0.4,42.0,1008.0,79.0,0.9273229070837167,2.0,62.0,False
gru,cpr,0000000001010,7,12,0,1.0,0.0,96.0,991.0,0.08831646734130635,2.0,62.0,False
gru,cpr,0000000001100,123,0,0,0.5,0.0,185.0,902.0,0.1701931922723091,2.0,64.0,True
gru,cpr,0000000001100,123,1,0,1.0,0.0,90.0,997.0,0.0827966881324747,2.0,64.0,True
gru,cpr,0000000001100,123,2,0,1.0,0.0,98.0,989.0,0.09015639374425023,2.0,64.0,True
gru,cpr,0000000001100,123,3,0,1.0,0.0,171.0,916.0,0.15731370745170192,2.0,64.0,False
gru,cpr,0000000001100,123,4,0,1.0,0.0,146.0,941.0,0.1343146274149034,2.0,64.0,False
gru,cpr,0000000001100,123,5,0,1.0,0.0,128.0,959.0,0.11775528978840846,2.0,64.0,False
gru,cpr,0000000001100,123,6,0,1.0,0.0,143.0,944.0,0.13155473781048757,2.0,64.0,False
gru,cpr,0000000001100,123,7,0,1.0,0.0,164.0,923.0,0.15087396504139836,2.0,64.0,False
gru,cpr,0000000001100,123,8,0,0.5,0.0,165.0,922.0,0.15179392824287027,2.0,64.0,False
