model,exercise,target,condition,metric,value
gru,cpr,0010000000100,seen,micro_f1,0.5985162180814355
gru,cpr,0010000000100,unseen,bit_accuracy,0.8333333333333334
gru,cpr,0010000000100,unseen,exact_match,0.0
gru,cpr,0010000000100,unseen,macro_f1,0.07407407407407407
gru,cpr,0010000000100,unseen,micro_f1,0.46873706004140786
gru,cpr,0010000001000,seen,bit_accuracy,0.8128205128205129
gru,cpr,0010000001000,seen,exact_match,0.0
gru,cpr,0010000001000,seen,macro_f1,0.10866910866910867
gru,cpr,0010000001000,seen,micro_f1,0.5241106719367589
gru,cpr,0010000001000,unseen,bit_accuracy,0.764102564102564
gru,cpr,0010000001000,unseen,exact_match,0.0
gru,cpr,0010000001000,unseen,macro_f1,0.07692307692307693
gru,cpr,0010000001000,unseen,micro_f1,0.3975653975653976
gru,cpr,0010000010000,seen,bit_accuracy,0.8384615384615385
gru,cpr,0010000010000,seen,exact_match,0.13333333333333333
gru,cpr,0010000010000,seen,macro_f1,0.09157509157509158
gru,cpr,0010000010000,seen,micro_f1,0.5471380471380471
gru,cpr,0010000010000,unseen,bit_accuracy,0.8256410256410257
gru,cpr,0010000010000,unseen,exact_match,0.0
gru,cpr,0010000010000,unseen,macro_f1,0.07661782661782662
gru,cpr,0010000010000,unseen,micro_f1,0.41414141414141414
gru,cpr,0010000100000,seen,bit_accuracy,0.9205128205128205
gru,cpr,0010000100000,seen,exact_match,0.4666666666666666
gru,cpr,0010000100000,seen,macro_f1,0.1396011396011396
gru,cpr,0010000100000,seen,micro_f1,0.7976076555023924
gru,cpr,0010000100000,unseen,bit_accuracy,0.8128205128205129
gru,cpr,0010000100000,unseen,exact_match,0.0
gru,cpr,0010000100000,unseen,macro_f1,0.08516483516483515
gru,cpr,0010000100000,unseen,micro_f1,0.46331738437001596
gru,cpr,0010001000000,seen,bit_accuracy,0.9307692307692307
gru,cpr,0010001000000,seen,exact_match,0.6
gru,cpr,0010001000000,seen,macro_f1,0.12820512820512822
gru,cpr,0010001000000,seen,micro_f1,0.798941798941799
gru,cpr,0010001000000,unseen,bit_accuracy,0.841025641025641
gru,cpr,0010001000000,unseen,exact_match,0.0
gru,cpr,0010001000000,unseen,macro_f1,0.09727309727309726
gru,cpr,0010001000000,unseen,micro_f1,0.5343358395989974
gru,cpr,0010010000000,seen,bit_accuracy,0.8256410256410257
gru,cpr,0010010000000,seen,exact_match,0.06666666666666667
gru,cpr,0010010000000,seen,macro_f1,0.1047008547008547
gru,cpr,0010010000000,seen,micro_f1,0.5133333333333333
gru,cpr,0010010000000,unseen,bit_accuracy,0.7974358974358974
gru,cpr,0010010000000,unseen,exact_match,0.0
gru,cpr,0010010000000,unseen,macro_f1,0.06837606837606837
gru,cpr,0010010000000,unseen,micro_f1,0.3800865800865801
gru,cpr,0100000000000,seen,bit_accuracy,0.8705128205128205
gru,cpr,0100000000000,seen,exact_match,0.0
gru,cpr,0100000000000,seen,macro_f1,0.025641025641025644
gru,cpr,0100000000000,seen,micro_f1,0.19047619047619047
gru,cpr,0100000000000,unseen,bit_accuracy,0.8705128205128205
gru,cpr,0100000000000,unseen,exact_match,0.18333333333333335
gru,cpr,0100000000000,unseen,macro_f1,0.019536019536019536
gru,cpr,0100000000000,unseen,micro_f1,0.16
gru,cpr,0100000000010,seen,bit_accuracy,0.8692307692307693
gru,cpr,0100000000010,seen,exact_match,0.2333333333333333
gru,cpr,0100000000010,seen,macro_f1,0.10225885225885227
gru,cpr,0100000000010,seen,micro_f1,0.557142857142857
gru,cpr,0100000000010,unseen,bit_accuracy,0.8153846153846155
gru,cpr,0100000000010,unseen,exact_match,0.0
gru,cpr,0100000000010,unseen,macro_f1,0.06593406593406594
gru,cpr,0100000000010,unseen,micro_f1,0.3695652173913044
gru,cpr,0100000000100,seen,bit_accuracy,0.8307692307692308
gru,cpr,0100000000100,seen,exact_match,0.0
gru,cpr,0100000000100,seen,macro_f1,0.09523809523809523
gru,cpr,0100000000100,seen,micro_f1,0.495906432748538
gru,cpr,0100000000100,unseen,bit_accuracy,0.8076923076923078
gru,cpr,0100000000100,unseen,exact_match,0.0
gru,cpr,0100000000100,unseen,macro_f1,0.1051078551078551
gru,cpr,0100000000100,unseen,micro_f1,0.4866096866096867
